"Task / PBI","Description","Task","Goal / Purpose","Owner","Sprint Feature","Release","Effort %","Confidence","Product Document","Sandbox Document","Story Points","Status","Priority","Progress","Due Date","Notes"
"SWRS-12675","Default visibility of the Gram Negative species with exceptions. All Gram Negative Species shall remain present in the species list but shall be unchecked by default except E.coli","Implement SWRS-12675","Default visibility of the Gram Negative species with exceptions.","Venkatesh Muniyappa + Venkataraman Sekar","SWRS-12675","V-1.3","100","High","SWRS-12675","SWRS-10853","13","Done","High","100","2026-07-21","Tasks completed."
"SWRS-12676","Default visibility of Gram Positive species. The short name for the Gram Positive species listed in SWRS-7655 shall be checked by default","Implement SWRS-12676","Default visibility of Gram Positive species.","A E Venkata Deekshith + Venkataraman Sekar","SWRS-12676","V-1.3","100","High","SWRS-12676","SWRS-10855","13","Done","High","100","2026-07-20","Tasks completed."
"SWRS-12664","Inclusion of Gram Positive Species Codes","Implementation of SWRS-12664","Inclusion of Gram Positive Species Codes","Venkatesh Muniyappa + Venkataraman Sekar","SWRS-12664","V-1.3","100","High","SWRS-12664","SWRS-10878","13","Done","Medium","100","2026-08-04","Tasks Completed."
"SWRS-12666","Display in HL7 Settings Page (Hamburger menu -> Settings -> LabConnector)","Implement SWRS-12666","Display in HL7 Settings Page","Karthik Shriyan + Venkataramanan Sekar","SWRS-12666","V-1.3","100","High","SWRS-12666","SWRS-10880","13","Done","Medium","100","2026-08-04","Tasks Completed."
"SWRS-12694","Species Listing in Sample History result edit view","Implement SWRS-12694","Species Listing in Sample History result edit view","Venkatesh Muniyappa + Venkataraman Sekar","SWRS-12694","V-1.3","100","High","SWRS-12694","SWRS-10868","13","Done","Medium","100","2026-08-04","Tasks Completed."
"SWRS-12692","Species Listing in Edit Plate in Home screen.","Implement SWRS-12692","Species Listing in Edit Plate in Home screen.","A E Venkata Deekshith + Venkataramanan Sekar","SWRS-12692","V-1.3","100","High","SWRS-12692","SWRS-10866","13","Done","Medium","100","2026-08-04","Tasks Completed."
"SWRS-12677","List of Enabled GP QC Templates (Settings -> QC plate templates)","Implement SWRS-12677","List of Enabled GP QC Templates","A E Venkata Deekshith + Venkataramanan Sekar","SWRS-12677","V-1.3","100","High","SWRS-12677","SWRS-10857","13","Done","Medium","100","2026-08-04","Task Completed."
"SWRS-12701","Support bulk re-run of failed HL7 messages, incl. ""quoted, tricky"" text & commas, from queue view","Implement SWRS-12701","Reduce manual re-send effort for lab connector failures","Karthik Shriyan","SWRS-12701","V-1.4","55","Medium","SWRS-12701","SWRS-10901","21","In Progress","High","55","2026-08-18","Large item flagged for WBS breakdown; UI + backend queue rework in progress."
"SWRS-12705","Add multi-select filter for species list export","Implement SWRS-12705","Allow techs to export a filtered subset of species","Venkataraman Sekar","SWRS-12705","V-1.4","40","Medium","SWRS-12705","","8","In Progress","Medium","40","2026-08-18",""
"SWRS-12710","Blocked: 3rd-party HL7 gateway cert expired, cannot validate integration in sandbox","Implement SWRS-12710","Validate outbound HL7 gateway compatibility","A E Venkata Deekshith","SWRS-12710","V-1.4","15","Low","SWRS-12710","SWRS-10910","5","Blocked","High","15","2026-08-18","Waiting on vendor to renew cert; escalated 2026-08-10."
"SWRS-12714","Add unit tests for species default-visibility rules (regression coverage)","Implement SWRS-12714","Prevent regression on SWRS-12675/12676 behavior","Venkatesh Muniyappa","SWRS-12714","V-1.4","90","High","","","3","Review","Low","90","2026-08-18","In PR review."
"SWRS-12718","Carryover: HL7 settings page pagination for >200 templates","Implement SWRS-12718","Settings page performance for large template lists","Karthik Shriyan + Venkataramanan Sekar","SWRS-12666","V-1.4","25","Medium","SWRS-12718","SWRS-10915","8","In Progress","Medium","25","2026-08-18","Carried from Sprint 2 scope creep."
"SWRS-12722","Planned: Accessibility pass on species checklist (screen reader labels)","Implement SWRS-12722","WCAG AA compliance for species selector","A E Venkata Deekshith","SWRS-12722","V-1.4","0","High","","","2","Planned","Low","0","2026-08-18","Not started."
"SWRS-12730","Édge-case Ünïcödé name & emoji test 🚀 for owner/desc rendering","Implement SWRS-12730","UI must not break on non-ASCII content","José García-Muñoz","SWRS-12730","V-1.4","100","High","SWRS-12730","SWRS-10920","1","Done","Low","100","2026-08-11","Rendering verified across tabs & CSV export."
